t1,t2,q
36.89549955,36.89628226,2.560227889
36.89628226,36.89736042,2.56059782
36.89736042,36.89804738,2.560309229
36.89804738,36.89914625,2.560786513
36.89914625,36.90006702,2.560712979
36.90006702,36.90079501,2.560607825
36.90079501,36.90183793,2.560992028
36.90183793,36.90274522,2.560955641
36.90274522,36.90358834,2.560977816
36.90358834,36.90455148,2.561178073
36.90455148,36.90536529,2.561120396
36.90536529,36.90625861,2.561277351
36.90625861,36.90716574,2.561376174
36.90716574,36.90805741,2.561447032
36.90805741,36.90874371,2.561326522
36.90874371,36.9094897,2.561451514
36.9094897,36.91018813,2.561474951
36.91018813,36.91111557,2.561770428
36.91111557,36.9119454,2.561761069
36.9119454,36.91268468,2.561749486
36.91268468,36.9135663,2.561962182
36.9135663,36.91438163,2.561979788
36.91438163,36.91514236,2.562002776
36.91514236,36.9157708,2.561942885
36.9157708,36.91653036,2.56213381
36.91653036,36.91734924,2.562265403
36.91734924,36.91813894,2.562314148
36.91813894,36.91872006,2.562180726
36.91872006,36.91958117,2.562516019
36.91958117,36.92011238,2.562268056
36.92011238,36.92077215,2.562447168
36.92077215,36.92153708,2.562615118
36.92153708,36.92228934,2.562675244
36.92228934,36.92283802,2.562543247
36.92283802,36.92345892,2.562667675
36.92345892,36.92404427,2.562691217
36.92404427,36.92482866,2.562945965
36.92482866,36.92552928,2.562936829
36.92552928,36.92621707,2.562990678
36.92621707,36.92693894,2.563090208
36.92693894,36.9274496,2.562947695
36.9274496,36.9281095,2.563145528
36.9281095,36.92881099,2.563249919
36.92881099,36.92930794,2.563112136
36.92930794,36.93006072,2.563415251
36.93006072,36.9306992,2.563372587
36.9306992,36.93138236,2.563478034
36.93138236,36.93188049,2.563358009
36.93188049,36.93251909,2.563545891
36.93251909,36.93317114,2.563620105
36.93317114,36.93381414,2.563673102
36.93381414,36.93445263,2.563729786
36.93445263,36.93508435,2.563783773
36.93508435,36.93571022,2.56383805
36.93571022,36.93616288,2.563724387
36.93616288,36.93684108,2.563993008
36.93684108,36.93742205,2.563960314
